firm_id,ticker,fiscal_year,managerial_inside_own,state_own,institutional_own,foreign_own,shares_outstanding,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,product_innovation,process_innovation,net_income,total_equity,market_value_equity,total_liabilities,net_cfo,capex,net_cfi,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,dividend_cash_paid,eps_basic,employees_count,net_ppe,firm_age
3,DBC,2020,0.22,0.0,0.04,0.02,104763911.0,10021583505683.0,10101271295241.0,-380425428122.0,-339149837912.0,,-1494954010739.0,1549363667961.0,-5886315240394.0,621018241153.0,2460951726439.0,-547559958450.0,-8065467175931.0,,1,0,1400296032328.0,4206960190688.0,1860000000000.0,5894311104553.0,2169066515705.0,-568607193180.0,-584095741579.0,232603906243.0,1243519425591.0,4653090308712.0,4254585526684.0,-0.92,3348892720551.0,-202695780500.0,13366.0,7500.0,3934882197498.0,24
3,DBC,2021,0.32,0.0,0.08,0.03,115239430.0,10812794593141.0,10862554292155.0,-405236274419.0,-344480753443.0,,-1402911561898.0,934149863644.0,-8402649023264.0,318450310909.0,2826175226637.0,-577882889899.0,-10571862260936.0,,1,0,829557934446.0,4685923120134.0,2998000000000.0,6176631172021.0,586372531694.0,-296475395074.0,-272187648232.0,200057089304.0,687234917033.0,5637467418086.0,5171698802616.0,0.08,4203442852223.0,-227400608400.0,7199.0,8000.0,4176382903859.0,25
3,DBC,2022,0.28,0.0,0.06,0.05,242001859.0,11557594666247.0,12974103921350.0,-403169934750.0,-343520530816.0,,-1514610773679.0,40918137191.0,-9188764425801.0,548787870639.0,3435395401017.0,-646111203767.0,-11509045355924.0,,1,1,5194587097.0,4641227663231.0,2550000000000.0,8332876258119.0,311757100659.0,-1188892761221.0,-817683783384.0,627011780110.0,886248583351.0,7065129967455.0,7213028754790.0,0.07,5207103337086.0,0.0,21.0,8000.0,3883670521162.0,26
3,DBC,2023,0.28,0.0,0.05,0.04,242001859.0,11110000756812.0,13011704257872.0,-432440161015.0,-356355906770.0,,-1307154928569.0,77721029178.0,-9263477258076.0,406793710642.0,4088024806968.0,-400945187846.0,-11375053777492.0,,1,1,25007194215.0,4666234857446.0,4957000000000.0,8345469400426.0,-967300258383.0,-375110099380.0,-257833557181.0,592137027608.0,1026414552256.0,7101240626454.0,7141605465752.0,-0.04,5494431478923.0,,103.0,8500.0,4533770857929.0,27
3,DBC,2024,0.28,0.0,0.01,0.06,334669145.0,13573523231898.0,14121555827597.0,-469098857795.0,-391719812986.0,,-1435978121420.0,835764450626.0,-9557772859032.0,516943714560.0,3875381912493.0,-442802648826.0,-11850322503673.0,,1,1,769083752455.0,6766079699901.0,8070000000000.0,7355476127696.0,1125820977761.0,-870295552915.0,-1713936238915.0,439331953874.0,764296861397.0,7838139952903.0,6420694102809.0,0.22,5516781758000.0,,2626.0,6905.0,4318221168927.0,28
4,DGC,2020,0.22,0.0,0.11,0.02,148766070.0,6236479389383.0,5876149771888.0,-388042567303.0,-104602329448.0,107162549471.0,-2087568679717.0,1023596273043.0,-2838461047714.0,,32485368927.0,-1615794885118.0,-5347914203597.0,,1,1,948071164744.0,4067430898730.0,2565000000000.0,1808718873158.0,1072986615448.0,-243268894837.0,-1101071936703.0,282319769553.0,0.0,3433498648020.0,1808618873158.0,-0.54,697142527758.0,-193865249600.0,5733.0,2090.0,2029235696849.0,57
4,DGC,2021,0.22,0.0,0.05,0.08,171079683.0,9550386235749.0,8520393116371.0,-503818242221.0,-136602168446.0,155500780.0,-2226072126157.0,2644489296175.0,-4368416030462.0,,27827104332.0,-1868617889025.0,-7210928325929.0,,1,1,2513776233600.0,6332002101510.0,10670000000000.0,2188391014861.0,2619566418823.0,-252689536618.0,-2240689867127.0,123957761198.0,,5997347534355.0,2188291014861.0,0.53,1386431589969.0,-236503705272.0,13122.0,2246.0,1973710613343.0,58
4,DGC,2022,0.22,0.0,0.03,0.16,379778413.0,14444110660905.0,13405182747367.0,-600386940046.0,-151827512501.0,92318504.0,-2490602477323.0,6381648084917.0,-4882861306033.0,,537715824.0,-2061699784131.0,-8153373045571.0,,0,0,6036982866996.0,10833653939038.0,19815000000000.0,2571528808329.0,5936759107854.0,-157456310665.0,-3827781755570.0,1535474845085.0,,10985294291433.0,2571428808329.0,0.51,999984030331.0,-411171411800.0,13774.0,2305.0,1781142081824.0,59
4,DGC,2023,0.22,0.0,0.04,0.19,379778413.0,9748014757873.0,15535906274595.0,-435691263950.0,-158572657070.0,10746056143.0,-2273125939897.0,3486508457937.0,-3148044702086.0,,18398659970.0,-1789686654467.0,-6076374644712.0,,1,1,3241661075841.0,12026938441998.0,33437000000000.0,3508967832597.0,2783885079859.0,-250811930649.0,-2338354409928.0,1060574918860.0,,12466646825746.0,3492906503052.0,-0.33,854908643204.0,-1773781299590.0,7673.0,2528.0,2132994428244.0,60
4,DGC,2024,0.22,0.0,0.05,0.18,379778413.0,9864969760473.0,15821258623564.0,-447124707178.0,-170651068755.0,343214635301.0,-2383541078752.0,3411827212034.0,-3944606031872.0,,1407552136.0,-1954540918856.0,-7017045881582.0,,1,1,3107401819893.0,13701016300127.0,42427000000000.0,2120242323437.0,3119474203107.0,-522002864265.0,-1152319348810.0,115781847631.0,,12700554128065.0,2053342950641.0,0.01,984727571037.0,-2444511581118.0,7392.0,2622.0,2152290235770.0,61
5,DHG,2020,,0.43,,0.55,130746071.0,3755619311324.0,4447503471370.0,-699298275858.0,-302861761740.0,210084464341.0,-504165930190.0,829964929048.0,-1713581255219.0,2045363088885.0,54939723503.0,-192849007869.0,-3098591441655.0,,1,0,738533809042.0,3568039364356.0,10457070758580.0,879464107014.0,826174214531.0,-88805051465.0,-248092233453.0,73054473018.0,,3480799873619.0,816433295601.0,-0.03,826585429976.0,-522984284000.0,5443.0,2712.0,639214010669.0,46
5,DHG,2021,0.0,0.43,,0.54,130746071.0,4003170417099.0,4617666192702.0,-802955208315.0,-257171743291.0,205780184057.0,-541713219189.0,884532141253.0,-1729636884198.0,2328573205669.0,74081738915.0,-190717233360.0,-3185358032849.0,,0,0,776284793787.0,3793143627133.0,11823367200530.0,824522565569.0,452444401621.0,-24562126487.0,45694016565.0,43373518349.0,,3727292944320.0,757715602158.0,0.06,1072605509022.0,-522984284000.0,5720.0,2700.0,562150489910.0,47
5,DHG,2022,0.0,0.43,0.0,0.54,130746071.0,4676016007827.0,5168186502845.0,-913204497923.0,-268212758590.0,201812212147.0,-649840231336.0,1112057633706.0,-2300681436877.0,2596470942738.0,71622857577.0,-276728105018.0,-3920451421092.0,,1,0,988454646072.0,4291536903457.0,9171836880650.0,876649599388.0,901284606303.0,-233991633058.0,-353729152479.0,34017813791.0,,4218772327716.0,811536702268.0,0.16,1250833919138.0,-457611248500.0,7318.0,2700.0,585574876927.0,48
5,DHG,2023,0.0,0.43,0.0,0.54,130746071.0,5015395040721.0,6110474220572.0,-978424470755.0,-312839173012.0,181860543811.0,-729625208292.0,1179262520803.0,-2613642695128.0,2958740001411.0,61543767889.0,-295989821950.0,-4362195895749.0,,1,0,1050662658695.0,4852934674270.0,11590639194150.0,1257539546302.0,240171214767.0,-486342533930.0,-179819151691.0,94134026358.0,,4642192911354.0,1189241981081.0,0.07,1534636314655.0,-457611248500.0,7780.0,2789.0,634290806084.0,49
5,DHG,2024,,0.43,,0.54,130746071.0,4884867655092.0,5959243276265.0,-904667099165.0,-312823418686.0,178105899019.0,-716490945231.0,978656370753.0,-2325405858858.0,2326141576305.0,79803293749.0,-330171458595.0,-4042365220819.0,,1,1,778920119960.0,4094755097969.0,12819652261550.0,1864488178296.0,1317583405328.0,-88704714502.0,-445951194424.0,62857547612.0,,4604003766930.0,1790292694239.0,-0.02,1115429265990.0,-980595532500.0,5763.0,2806.0,1017760834448.0,50
6,DPM,2020,0.0,0.59,0.09,0.11,391334260.0,7761818604563.0,11299941305395.0,-654617057501.0,-409071818150.0,844021565966.0,-1950796584701.0,753341003037.0,-3594874341946.0,6149736686439.0,48035018676.0,-869303780172.0,-6032014990990.0,,1,1,701619678802.0,8247499340888.0,2722000000000.0,3052441964507.0,787273413997.0,-81740330467.0,-1065998121253.0,2029198585342.0,858922907882.0,6314163032937.0,2026034102655.0,0.01,1468360373620.0,-479315340540.0,1535.0,1529.0,3438870887385.0,17
6,DPM,2021,0.0,0.59,0.1,0.09,391334260.0,12786141193352.0,13917930244401.0,-817762955253.0,-424973596372.0,833475205886.0,-2343601770046.0,3646171279148.0,-4822494783618.0,9307776052943.0,215990588117.0,-1023945659632.0,-8000602438317.0,,1,1,3171516300559.0,10713159720643.0,7742000000000.0,3204770523758.0,2516071571657.0,-221937019045.0,-1318920885482.0,2524115312966.0,700468329150.0,9519579701251.0,2151651816461.0,0.65,2775533988246.0,-557564743740.0,7749.0,1508.0,2883489798863.0,18
